uid,day,1,2,3,4,5,6,7,8
e3178eecbbf64489bdf4a0f5307d1abf,2,F,F,F,F,F,F,F,F
e3178eecbbf64489bdf4a0f5307d1abf,3,F,F,F,F,F,F,F,F
e3178eecbbf64489bdf4a0f5307d1abf,4,8B,8C,10A,10C,9A,F,F,10A
e3178eecbbf64489bdf4a0f5307d1abf,5,F,F,F,F,F,F,F,F
5ebf9bc537a347bc9d13851ef0dfadb6,0,F,F,F,F,F,F,F,F
5ebf9bc537a347bc9d13851ef0dfadb6,1,F,F,F,F,F,F,F,F
5ebf9bc537a347bc9d13851ef0dfadb6,2,F,F,F,F,F,F,F,F
5ebf9bc537a347bc9d13851ef0dfadb6,3,F,F,F,F,F,F,F,F
5ebf9bc537a347bc9d13851ef0dfadb6,4,10E,9D,F,6D,7A,F,6B,10E
5ebf9bc537a347bc9d13851ef0dfadb6,5,F,F,F,F,F,F,F,F
490246ecc5c64f95b9cbdc7b00a4bff6,0,F,F,F,F,F,F,F,F
490246ecc5c64f95b9cbdc7b00a4bff6,1,F,F,F,F,F,F,F,F
490246ecc5c64f95b9cbdc7b00a4bff6,2,F,F,F,F,F,F,F,F
490246ecc5c64f95b9cbdc7b00a4bff6,3,F,F,F,F,F,F,F,F
490246ecc5c64f95b9cbdc7b00a4bff6,4,10D,10B,F,9C,10D,9E,8D,F
490246ecc5c64f95b9cbdc7b00a4bff6,5,F,F,F,F,F,F,F,F
bdfd8eb3c06e453593e4c1b3f9eb17de,0,F,F,F,F,F,F,F,F
bdfd8eb3c06e453593e4c1b3f9eb17de,1,F,F,F,F,F,F,F,F
bdfd8eb3c06e453593e4c1b3f9eb17de,2,F,F,F,F,F,F,F,F
bdfd8eb3c06e453593e4c1b3f9eb17de,3,F,F,F,F,F,F,F,F
bdfd8eb3c06e453593e4c1b3f9eb17de,4,7E,6A,6C,9B,6C,6A,F,7C
bdfd8eb3c06e453593e4c1b3f9eb17de,5,F,F,F,F,F,F,F,F
85eef4a552484ece8bf04fb241d8cd05,0,F,F,F,F,F,F,F,F
85eef4a552484ece8bf04fb241d8cd05,1,F,F,F,F,F,F,F,F
85eef4a552484ece8bf04fb241d8cd05,2,F,F,F,F,F,F,F,F
85eef4a552484ece8bf04fb241d8cd05,3,F,F,F,F,F,F,F,F
85eef4a552484ece8bf04fb241d8cd05,4,9E,10D,6D,8B,6E,6D,F,F
85eef4a552484ece8bf04fb241d8cd05,5,F,F,F,F,F,F,F,F
eb2c930c166545399a98e40ae994de0a,0,F,F,F,F,F,F,F,F
eb2c930c166545399a98e40ae994de0a,1,F,F,F,F,F,F,F,F
eb2c930c166545399a98e40ae994de0a,2,F,F,F,F,F,F,F,F
eb2c930c166545399a98e40ae994de0a,3,F,F,F,F,F,F,F,F
eb2c930c166545399a98e40ae994de0a,4,9A,10A,8E,6A,6A,6B,F,9A
eb2c930c166545399a98e40ae994de0a,5,F,F,F,F,F,F,F,F
6acf14dbaa1d4f94a14899e79a1cb035,0,F,F,F,F,F,F,F,F
6acf14dbaa1d4f94a14899e79a1cb035,1,F,F,F,F,F,F,F,F
6acf14dbaa1d4f94a14899e79a1cb035,2,F,F,F,F,F,F,F,F
6acf14dbaa1d4f94a14899e79a1cb035,3,F,F,F,F,F,F,F,F
6acf14dbaa1d4f94a14899e79a1cb035,4,9D,10E,8C,F,8C,6C,F,7E
6acf14dbaa1d4f94a14899e79a1cb035,5,F,F,F,F,F,F,F,F
c514522fd06944c685305af2845ac227,0,F,F,F,F,F,F,F,F
c514522fd06944c685305af2845ac227,1,F,F,F,F,F,F,F,F
c514522fd06944c685305af2845ac227,2,F,F,F,F,F,F,F,F
c514522fd06944c685305af2845ac227,3,F,F,F,F,F,F,F,F
c514522fd06944c685305af2845ac227,4,9C,10C,8D,F,F,9C,7A,7B
c514522fd06944c685305af2845ac227,5,F,F,F,F,F,F,F,F
2d14798addf047a18843efa41ccc193b,0,F,F,F,F,F,F,F,F
2d14798addf047a18843efa41ccc193b,1,F,F,F,F,F,F,F,F
2d14798addf047a18843efa41ccc193b,2,F,F,F,F,F,F,F,F
2d14798addf047a18843efa41ccc193b,3,F,F,F,F,F,F,F,F
2d14798addf047a18843efa41ccc193b,4,10B,9B,F,8A,F,7C,7D,10B
2d14798addf047a18843efa41ccc193b,5,F,F,F,F,F,F,F,F
e73e422eddd648fd9b60efb93ff31cf1,0,F,F,F,F,F,F,F,F
e73e422eddd648fd9b60efb93ff31cf1,1,F,F,F,F,F,F,F,F
e73e422eddd648fd9b60efb93ff31cf1,2,F,F,F,F,F,F,F,F
e73e422eddd648fd9b60efb93ff31cf1,3,F,F,F,F,F,F,F,F
e73e422eddd648fd9b60efb93ff31cf1,4,10C,7D,F,9D,10E,F,6A,10C
e73e422eddd648fd9b60efb93ff31cf1,5,F,F,F,F,F,F,F,F
a536ae0fdecb4736ba45918639af56ce,0,F,F,F,F,F,F,F,F
a536ae0fdecb4736ba45918639af56ce,1,F,F,F,F,F,F,F,F
a536ae0fdecb4736ba45918639af56ce,2,F,F,F,F,F,F,F,F
a536ae0fdecb4736ba45918639af56ce,3,F,F,F,F,F,F,F,F
a536ae0fdecb4736ba45918639af56ce,4,8E,F,10B,10A,F,10A,9C,6C
a536ae0fdecb4736ba45918639af56ce,5,F,F,F,F,F,F,F,F
cc6e49809401429880dd11767a6f46cd,0,F,F,F,F,F,F,F,F
cc6e49809401429880dd11767a6f46cd,1,F,F,F,F,F,F,F,F
cc6e49809401429880dd11767a6f46cd,2,F,F,F,F,F,F,F,F
cc6e49809401429880dd11767a6f46cd,3,F,F,F,F,F,F,F,F
cc6e49809401429880dd11767a6f46cd,4,8D,9A,10D,F,6B,8C,F,F
cc6e49809401429880dd11767a6f46cd,5,F,F,F,F,F,F,F,F
fbe4ed8d582242aa838c8e2fcc14324c,0,F,F,F,F,F,F,F,F
fbe4ed8d582242aa838c8e2fcc14324c,1,F,F,F,F,F,F,F,F
fbe4ed8d582242aa838c8e2fcc14324c,2,F,F,F,F,F,F,F,F
fbe4ed8d582242aa838c8e2fcc14324c,3,F,F,F,F,F,F,F,F
fbe4ed8d582242aa838c8e2fcc14324c,4,8A,9E,F,F,9E,F,7C,6D
fbe4ed8d582242aa838c8e2fcc14324c,5,F,F,F,F,F,F,F,F
a4dae18b020b45c3b423224262fb58bb,0,F,F,F,F,F,F,F,F
a4dae18b020b45c3b423224262fb58bb,1,F,F,F,F,F,F,F,F
a4dae18b020b45c3b423224262fb58bb,2,F,F,F,F,F,F,F,F
a4dae18b020b45c3b423224262fb58bb,3,F,F,F,F,F,F,F,F
a4dae18b020b45c3b423224262fb58bb,4,7B,8B,9B,F,8B,F,7E,6E
a4dae18b020b45c3b423224262fb58bb,5,F,F,F,F,F,F,F,F
0bbe959678964d2f93bf458a71f5e1cd,0,F,F,F,F,F,F,F,F
0bbe959678964d2f93bf458a71f5e1cd,1,F,F,F,F,F,F,F,F
